X,Y,İşl__kurum,il,ilçe,İst__Adı,No,P25_No,CKS_Boylam,CKS_Enlem,x_utm_ed50,y_utm_ed50,Rasat_tipi,Kot,Açılış_Tar,Kapanış_Ta,İst__Durum,Ocak_Ort_,Şubat_Ort_,Mart_Ort_,Nisan_Ort_,Mayıs_Ort_,Haziran_Or,Temmuz_Ort,Ağustos_Or,Eylül_Ort_,Ekim_Ort_,Kasım_Ort_,Aralık_Ort,Yıllık_Top,Ocak_Ort1,Şubat_Ort1,Mart_Ort1,Nisan_Ort1,Mayıs_Ort1,Haziran__1,Temmuz_O_1,Ağustos__1,Eylül_Ort1,Ekim_Ort1,Kasım_Ort1,Aralık_O_1,Yıllık_Ort,Ocak_PET__,Şubat_PET,Mart_PET__,Nisan_PET,Mayıs_PET,Haziran_PE,Temmuz_PET,Ağustos_PE,Eylül_PET,Ekim_PET__,Kasım_PET,Aralık_PET,Yıllık_T_1,Ocak_Gerçe,Şubat_Gerç,Mart_Gerçe,Nisan_Gerç,Mayıs_Gerç,Haziran_Ge,Temmuz_Ger,Ağustos_Ge,Eylül_Gerç,Ekim_Gerçe,Kasım_Gerç,Aralık_Ger,Yıllık_T_2,icon_url
27.9499240746378,38.5167325713561,MGM,Manisa,Turgutlu,Ahmetli,"5617",,38.516667,27.950000,582861.437070,4263756.569010,Yağış,100.000000,1938.000000,1988.000000,Kapalı,96.690476,69.971429,53.333333,43.880952,25.790476,15.866667,9.795238,4.223810,10.961905,40.033333,55.776190,84.266667,510.590476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,./0.png
27.8165910224103,38.9167323254493,MGM,Manisa,Akhisar,Akhisar,"17184",,38.916667,27.816667,570841.653337,4308032.512180,Sinoptik,93.000000,0.000000,0.000000,Açık,95.307407,80.529630,64.032099,48.996296,36.088889,13.207407,4.406173,4.079012,13.619753,39.912346,72.829630,109.554321,582.562963,6.050000,7.175676,9.650000,14.482432,19.743243,24.475676,26.970270,26.602703,22.433784,16.822973,11.414865,7.766216,16.132320,9.058392,11.999341,24.470245,52.949735,99.889744,145.634993,174.819215,159.907128,105.176280,59.227749,26.627336,13.417352,883.177510,9.058392,11.999341,24.470245,52.949735,99.889744,45.453114,4.406173,4.079012,13.619753,39.912346,26.627336,13.417352,345.882542,./0.png
28.516590702735,38.3500657710882,MGM,Manisa,Alaşehir,Alaşehir,17797 (5974),,38.350000,28.516667,632569.502977,4245923.893370,Küçük Klima,189.000000,0.000000,0.000000,Açık,66.394667,67.784000,54.556000,37.626667,35.513333,15.377333,8.285333,5.281333,10.937333,34.496000,54.168000,75.796000,466.216000,6.458974,7.905128,10.712821,15.335897,20.630769,25.333333,27.997436,27.225641,22.897436,17.233333,14.707692,7.889744,17.027350,8.691401,12.420994,26.528439,54.542860,104.815573,153.731316,186.010766,165.442983,107.204001,58.899563,38.588626,12.229550,929.106073,8.691401,12.420994,26.528439,54.542860,104.815573,29.158901,8.285333,5.281333,10.937333,34.496000,38.588626,12.229550,345.976344,./0.png
26.9665907927242,38.8000661431524,MGM,İzmir,Menemen,Aliağa,"5091",,38.800000,26.966667,497146.696411,4294769.764930,,125.000000,0.000000,0.000000,Kapalı,101.772000,83.624000,73.360000,41.156000,25.576000,7.564000,4.148000,4.700000,12.580000,36.188000,83.648000,133.944000,608.260000,7.900000,7.195652,9.595652,14.433333,19.710145,24.405797,26.865217,26.450725,22.330435,16.786957,11.369565,7.765217,16.234058,14.240487,11.982738,24.117982,52.490480,99.461769,144.862904,173.659576,158.337415,104.259649,58.882354,26.340481,13.336819,881.972653,14.240487,11.982738,24.117982,52.490480,99.461769,22.343751,4.148000,4.700000,12.580000,36.188000,26.340481,13.336819,321.930506,./0.png
29.5665911482473,38.7500649732845,DSİ,Uşak,Merkez,Aşağı Karacahisar,07-022,K23a1,38.750000,29.566667,723091.049424,4292348.868450,,1095.000000,1962.000000,0.000000,Açık,88.423913,79.793478,69.232609,62.747826,43.730435,22.589130,16.286957,10.852174,18.734783,41.763043,81.767391,103.419565,639.341304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,./0.png
28.2832572607462,38.2500659551024,DSİ,Manisa,Alaşehir,Avşar Barajı,05-026,L21d1,38.250000,28.283333,612333.716297,4234518.228030,,275.000000,1980.000000,0.000000,Açık,57.812903,56.919355,48.487097,42.764516,26.164516,13.148387,8.980645,12.196774,9.967742,32.696774,59.070968,71.722581,439.932258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,./0.png
27.6499238045951,38.2167329378138,MGM,İzmir,Bayındır,Bayındır,"6132",,38.216667,27.650000,556941.724838,4230240.756560,,100.000000,1929.000000,1985.000000,Kapalı,125.834615,95.584615,73.957692,58.576923,29.569231,15.365385,2.788462,1.323077,15.534615,45.876923,72.650000,152.469231,689.530769,8.373684,9.484211,11.878947,15.463158,20.668421,25.352632,27.457895,27.015789,23.773684,18.878947,13.810526,9.894737,17.671053,12.965158,16.213389,30.426938,53.492172,103.513383,153.536494,179.964787,163.356961,114.033897,68.079819,32.990304,17.356404,945.929708,12.965158,16.213389,30.426938,53.492172,103.513383,41.421232,2.788462,1.323077,15.534615,45.876923,32.990304,17.356404,373.902057,./0.png
27.1832577508324,39.1333991202891,MGM,İzmir,Bergama,Bergama,"17742",,39.133333,27.183333,515886.685891,4331775.585020,,0.000000,0.000000,0.000000,,118.723377,92.048052,71.018182,52.797403,35.684416,16.102597,6.519481,6.111688,16.801299,47.228571,99.314286,132.962338,695.311688,6.593333,7.420000,9.726667,14.264444,19.364444,24.311111,26.575556,26.082222,22.324444,17.144444,11.980000,8.471111,16.188148,10.540226,12.754154,24.873808,51.677263,96.706252,143.993547,170.449838,154.581506,104.348062,61.258448,28.994501,15.625024,875.802627,10.540226,12.754154,24.873808,51.677263,96.706252,55.080761,6.519481,6.111688,16.801299,47.228571,28.994501,15.625024,372.913026,./0.png
27.2999239697637,38.5167328712803,DSİ,İzmir,Bornova,Beşyol,05-022,K18c4,38.516667,27.300000,526194.693714,4263371.679030,,530.000000,1976.000000,0.000000,Açık,137.308571,101.428571,85.331429,59.780000,36.694286,14.617143,2.785714,0.580000,18.008571,47.171429,118.714286,148.017143,770.437143,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,./0.png
28.2499237998011,38.0833994307303,DSİ,İzmir,Beydağ,Beydağ,06-005,L20d3,38.083333,28.250000,609666.259538,4215984.595650,,380.000000,1962.000000,0.000000,Açık,139.284615,127.187179,95.002564,67.228205,43.443590,14.735897,12.361538,9.689744,13.984615,40.969231,98.782051,179.892308,842.561538,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,./0.png
